"codeper","classification","description"
11,"Gestion par le feu","Brûlage contrôlé"
12,"Gestion par le feu","Incendie (naturel ou incontrôlé)"
21,"Activités de loisirs","Récolte des fleurs"
22,"Activités de loisirs","Arrachage des pieds"
23,"Activités de loisirs","Piétinement pédestre"
24,"Activités de loisirs","Véhicules à moteur (écrasement)"
25,"Activités de loisirs","Plongée dans un lac"
31,"Gestion de l'eau","Pompage"
32,"Gestion de l'eau","Drainage"
33,"Gestion de l'eau","Irrigation par gravité"
34,"Gestion de l'eau","Irrigation par aspersion"
35,"Gestion de l'eau","Curage (fossé, mare, serve)"
36,"Gestion de l'eau","Extraction de granulats"
41,"Activités agricoles","Labour"
42,"Activités agricoles","Fertilisation"
43,"Activités agricoles","Produits phytosanitaires (épandage)"
44,"Activités agricoles","Fauchaison"
45,"Activités agricoles","Apport de blocs (déterrés par le labour)"
46,"Activités agricoles","Gyrobroyage"
47,"Activités agricoles","Revégétalisation (sur semis)"
51,"Activités forestières","Jeune plantation de feuillus"
52,"Activités forestières","Jeune plantation mixte (feuillus et résineux)"
53,"Activités forestières","Jeune plantation de résineux"
54,"Activités forestières","Elagage (haie et bord de route)"
55,"Activités forestières","Coupe d'éclaircie"
56,"Activités forestières","Coupe à blanc"
57,"Activités forestières","Bois coupé et laissé sur place"
58,"Activités forestières","Ouverture de piste forestière"
61,"Comportement des animaux","Jas (couchades nocturnes des animaux domestiques)"
62,"Comportement des animaux","Chaume (couchades aux heures chaudes des animaux domestiques)"
63,"Comportement des animaux","Faune sauvage (reposoir)"
64,"Comportement des animaux","Piétinement, sans apports de déjection"
65,"Comportement des animaux","Pâturage (sur herbacées exclusivement)"
66,"Comportement des animaux","Abroutissement et écorçage (sur ligneux)"
67,"Comportement des animaux","Sangliers : labours et grattis"
68,"Comportement des animaux","Marmottes : terriers"
69,"Comportement des animaux","Chenilles : défoliation"
71,"Processus naturels d'érosion","Submersion temporaire"
72,"Processus naturels d'érosion","Envasement"
73,"Processus naturels d'érosion","Engravement (laves torrentielles et divagation d'une rivière)"
74,"Processus naturels d'érosion","Avalanche : apport de matériaux non triés"
75,"Processus naturels d'érosion","Erosion s'exerçant sur de vastes surfaces"
76,"Processus naturels d'érosion","Sapement de la berge d'un cours d'eau"
77,"Processus naturels d'érosion","Avalanche : ramonage du terrain"
78,"Processus naturels d'érosion","Eboulement récent"
81,"Aménagements lourds","Carrière en roche dure"
82,"Aménagements lourds","Fossé pare-blocs"
83,"Aménagements lourds","Endiguement"
84,"Aménagements lourds","Terrassement pour aménagements lourds"
85,"Aménagements lourds","Déboisement avec désouchage"
86,"Aménagements lourds","Béton, goudron : revêtement abiotique"
91,"Gestion des invasives","Arrachage"
92,"Gestion des invasives","Fauchage"
93,"Gestion des invasives","Débroussaillage"
94,"Gestion des invasives","Recouvrement avec bâches"
